joint,dist_15,dist_22_aligned,orient_15,orient_22,depth_15,depth_22,growth,match_cost,event_type_15,event_type_22,anomaly_type,dist_diff_ft,orient_diff_deg,dist_within_tolerance,orient_within_tolerance,is_validated,validation_confidence,anomaly_confidence,confidence_level,annual_growth_rate,confidence_label,review_reasons,confidence_score,severity_score,severity_level,years_to_failure,status
2640.0,9452.13,9452.291914079007,283.0,271.5,16.0,19.0,3.0,0.4161257182937281,metal loss,metal loss,metal loss,0.16191407900805643,11.5,True,True,True,88.79752587658609,85.50357017640091,High,0.42857142857142855,Confident,,0.7061519941922157,21.885714285714286,Low,100.0,Active
2640.0,9452.84,9452.822356860504,49.0,36.5,13.0,19.0,6.0,0.4170400358267489,metal loss,metal loss,metal loss,0.017643139495703508,12.5,True,True,True,89.4069019383763,84.5336516757597,High,0.8571428571428571,Confident,,0.7056963633469723,28.571428571428573,Low,71.16666666666667,Active
2640.0,9453.04,9452.97795340974,89.0,70.0,13.0,20.0,7.0,0.636365374980559,metal loss,metal loss,metal loss,0.06204659026116133,19.0,True,True,True,83.54620076405504,78.95179416002719,Medium,1.0,Review Required,High match cost (>0.6),0.6111104618135057,31.6,Moderate,60.0,Active
2640.0,9458.19,9458.195489645228,243.5,233.5,17.0,29.0,12.0,0.3333785345756911,metal loss,metal loss,metal loss,0.0054896452274988405,10.0,True,True,True,91.61177021439168,84.34394534064967,High,1.7142857142857142,Confident,,0.7499745751630995,49.94285714285714,Moderate,29.75,Active
2640.0,9458.78,9458.811813638962,242.50000000000003,232.5,30.0,28.0,-2.0,0.3348480532048559,metal loss,metal loss,metal loss,0.031813638961466495,10.000000000000028,True,True,True,91.34853027705198,88.21388021823765,High,-0.2857142857142857,Confident,,0.749148936913895,21.142857142857146,Low,100.0,Static
2640.0,9459.51,9459.534226188996,237.0,227.5,23.0,29.0,6.0,0.3175920118816858,metal loss,metal loss,metal loss,0.02422618899618101,9.5,True,True,True,91.84107144337153,87.10523692581171,High,0.8571428571428571,Confident,,0.7589602782821029,36.57142857142857,Moderate,59.5,Active
2640.0,9459.88,9459.932310866916,157.0,144.0,35.0,50.0,15.0,0.4364793289210372,metal loss,metal loss,metal loss,0.05231086691674136,13.0,True,True,True,88.64355799749924,80.34181700544137,High,2.142857142857143,Confident,,0.6961464602147225,77.42857142857143,Critical,14.0,High Risk
2640.0,9460.01,9460.087907416157,181.0,166.0,39.0,36.0,-3.0,0.5060331663954194,metal loss,metal loss,metal loss,0.07790741615644947,15.0,True,True,True,86.7209258384355,83.40825036816446,High,-0.42857142857142855,Confident,,0.6639960010930085,26.914285714285718,Low,100.0,Static
2940.0,10515.15,10514.96953401724,134.0,131.5,10.0,18.0,8.0,0.1987773009620713,metal loss,metal loss,metal loss,0.18046598275941506,2.5,True,True,True,96.11200683907252,90.27030161346369,Very High,1.1428571428571428,Confident,,0.8341832959278227,32.22857142857143,Moderate,54.25,Active
2960.0,10595.34,10595.334129267025,196.0,199.5,13.0,23.0,10.0,0.1168142825889859,metal loss,metal loss,metal loss,0.005870732975381543,3.5,True,True,True,97.02462600357953,91.67197104914985,Very High,1.4285714285714286,Confident,,0.8954040215906011,40.68571428571429,Moderate,39.9,Active
