distance,event_type,orientation,length,width,depth,joint_number,comments,year,distance_raw,distance_aligned
125.902,metal loss,171.0,3.4,1.8,17.0,75,,2022,125.902,126.37588106341424
126.378,metal loss,271.5,7.0,6.1,29.0,75,,2022,126.378,126.70524293515086
128.583,metal loss,139.5,2.4,2.6,21.0,75,,2022,128.583,128.23096337040138
128.839,metal loss,179.5,3.0,4.0,30.0,75,,2022,128.839,128.4080991669656
143.373,metal loss,345.0,3.4,6.9,32.0,80,,2022,143.373,142.59700438223558
143.648,metal loss,30.0,0.7,2.2,25.0,80,,2022,143.648,142.8693243508405
143.655,metal loss,256.5,3.1,3.1,12.0,80,,2022,143.655,142.87625613185952
143.675,metal loss,135.0,2.4,2.1,21.0,80,,2022,143.675,142.89606122048534
146.289,metal loss,254.5,4.1,6.1,23.0,90,,2022,146.289,145.49820501470262
146.46,metal loss,359.0,1.2,2.0,20.0,90,,2022,146.46,145.66911309956683
175.384,metal loss,243.5,5.7,2.9,15.0,90,,2022,175.384,174.57756600373096
265.167,metal loss,361.5,2.1,3.4,23.0,120,,2022,265.167,264.2201349747849
423.104,metal loss,339.0,2.2,2.0,13.0,200,,2022,423.104,424.436513321198
423.573,metal loss,331.0,2.4,1.0,12.0,200,,2022,423.573,425.267333278173
429.213,metal loss,84.5,2.3,2.9,15.0,200,,2022,429.213,435.2584304153566
440.804,metal loss,190.5,15.0,8.8,15.0,215,,2022,440.804,439.28497144217033
488.245,metal loss,167.5,3.3,1.5,14.0,230,,2022,488.245,486.4595982587065
526.923,metal loss,88.5,2.6,1.7,17.0,230,,2022,526.923,524.8008495024876
528.468,metal loss,211.0,14.9,19.6,23.0,240,,2022,528.468,526.3324389759872
529.121,metal loss,258.5,14.0,8.4,11.0,240,,2022,529.121,526.9798990375074
529.291,metal loss,126.5,2.5,2.0,18.0,240,,2022,529.291,527.1484567870609
534.111,metal loss,271.0,1.5,3.4,27.0,240,,2022,534.111,531.927564744989
534.537,metal loss,268.0,4.1,1.8,12.0,240,,2022,534.537,532.3499506350466
535.066,metal loss,265.0,2.7,1.4,15.0,240,,2022,535.066,532.8744626910102
535.604,metal loss,263.0,1.6,1.3,16.0,240,,2022,535.604,533.4078983925382
535.984,metal loss,263.0,1.9,2.3,15.0,240,,2022,535.984,533.784674538599
567.247,metal loss,138.0,2.5,2.8,13.0,240,,2022,567.247,564.7824446814843
567.743,metal loss,137.5,2.5,2.4,16.0,240,,2022,567.743,565.2742367037112
571.024,metal loss,179.0,2.0,1.9,13.0,250,,2022,571.024,568.5392883839139
572.487,metal loss,180.5,2.8,2.3,11.0,250,,2022,572.487,569.9970391687846
573.501,metal loss,179.0,1.1,2.7,16.0,250,,2022,573.501,571.0074009567948
576.512,metal loss,190.5,4.6,5.2,13.0,250,,2022,576.512,574.0075975482134
578.927,metal loss,184.0,1.2,3.5,18.0,250,,2022,578.927,576.4139325758708
579.436,metal loss,184.0,4.5,1.9,13.0,250,,2022,579.436,576.9211062939154
582.818,metal loss,186.0,1.6,1.0,12.0,250,,2022,582.818,580.2909717446554
584.373,metal loss,175.5,2.6,3.6,11.0,250,,2022,584.373,581.8403924353416
589.127,metal loss,184.0,9.3,4.8,11.0,250,,2022,589.127,586.5773351771564
592.635,metal loss,182.0,4.1,3.8,13.0,250,,2022,592.635,590.072748542383
594.442,metal loss,181.0,1.6,1.0,11.0,250,,2022,594.442,591.8732650620422
595.433,metal loss,178.0,1.5,1.0,13.0,250,,2022,595.433,592.8607093735984
607.72,metal loss,289.0,3.1,1.6,11.0,250,,2022,607.72,605.1036238600688
608.435,metal loss,275.5,2.5,4.0,17.0,250,,2022,608.435,605.8160584541785
609.058,metal loss,309.0,3.8,1.3,13.0,260,,2022,609.058,606.4386069810478
609.17,metal loss,131.0,10.4,4.0,13.0,260,,2022,609.17,606.5508142428689
609.364,metal loss,249.5,4.1,4.6,18.0,260,,2022,609.364,606.7451732499521
610.059,metal loss,91.5,4.5,3.8,21.0,260,,2022,610.059,607.4414593835747
639.085,metal loss,170.5,2.4,1.5,33.0,260,,2022,639.085,636.5211735052007
639.094,metal loss,90.5,2.6,3.6,17.0,260,,2022,639.094,636.5301901601686
639.177,metal loss,137.5,3.0,3.1,25.0,260,,2022,639.177,636.6133437559824
657.119,metal loss,175.0,3.1,3.7,39.0,280,,2022,657.119,654.0612945296461
658.333,metal loss,271.0,5.2,5.1,23.0,290,,2022,658.333,655.2677155028955
658.576,metal loss,307.5,3.3,3.4,17.0,290,,2022,658.576,655.5176223124543
671.037,metal loss,147.5,8.1,6.9,17.0,290,,2022,671.037,668.3328023696998
671.365,metal loss,268.0,12.1,10.2,26.0,290,,2022,671.365,668.6701251414498
681.726,metal loss,95.0,3.3,6.5,24.0,310,,2022,681.726,678.5111626581556
789.035,metal loss,145.5,18.5,4.1,12.0,370,,2022,789.035,785.2622369916228
792.402,metal loss,140.5,22.9,4.2,14.0,370,,2022,792.402,788.6309275653392
795.64,metal loss,149.0,13.5,4.1,13.0,370,,2022,795.64,791.87055336804
797.054,metal loss,147.0,10.4,5.0,10.0,370,,2022,797.054,793.2852633387066
802.421,metal loss,143.5,14.0,1.1,12.0,370,,2022,802.421,798.6549581142148
807.822,metal loss,144.0,7.0,1.8,16.0,370,,2022,807.822,804.0586699611532
814.35,metal loss,145.5,10.2,1.3,12.0,370,,2022,814.35,810.5899476758013
824.36,metal loss,151.0,20.0,1.6,10.0,370,,2022,824.36,820.6049737057689
932.083,metal loss,183.5,8.2,2.4,11.0,400,,2022,932.083,928.1626094439872
958.524,metal loss,61.0,4.8,3.8,23.0,410,,2022,958.524,953.9963344769808
959.997,metal loss,100.0,15.0,7.2,28.0,420,,2022,959.997,955.4352291041504
1191.788,metal loss,130.0,6.1,2.9,13.0,480,,2022,1191.788,1187.208444455485
1193.35,metal loss,133.5,3.3,0.9,14.0,480,,2022,1193.35,1188.7663314785373
1194.163,metal loss,135.5,2.3,1.9,11.0,480,,2022,1194.163,1189.5771907293324
1195.889,metal loss,134.5,0.7,2.2,13.0,480,,2022,1195.889,1191.2986459161366
1196.178,metal loss,132.0,0.6,0.7,14.0,480,,2022,1196.178,1191.5868849364072
1196.414,metal loss,134.0,0.7,1.0,11.0,480,,2022,1196.414,1191.8222635135137
1197.336,metal loss,128.5,0.6,0.2,11.0,480,,2022,1197.336,1192.7418357511924
1197.887,metal loss,129.5,10.4,3.1,12.0,480,,2022,1197.887,1193.291384886725
1200.469,metal loss,175.5,8.3,1.7,11.0,480,,2022,1200.469,1195.8665860989668
1200.607,metal loss,129.0,2.6,1.6,12.0,480,,2022,1200.607,1196.0042227245629
1201.335,metal loss,177.0,1.2,2.6,11.0,480,,2022,1201.335,1196.7303057929255
1202.021,metal loss,177.5,4.3,2.2,18.0,480,,2022,1202.021,1197.4144994534977
1204.603,metal loss,171.5,0.5,0.7,13.0,490,,2022,1204.603,1199.99553422058
1207.49,metal loss,174.0,0.6,0.9,12.0,490,,2022,1207.49,1202.8883732427778
1207.726,metal loss,178.0,4.2,3.9,18.0,490,,2022,1207.726,1203.1248505580666
1208.248,metal loss,179.5,1.0,3.1,14.0,490,,2022,1208.248,1203.6479063147644
1208.707,metal loss,180.5,9.0,3.3,14.0,490,,2022,1208.707,1204.1078346525508
1209.767,metal loss,177.5,0.4,1.5,18.0,490,,2022,1209.767,1205.1699785263054
1210.246,metal loss,183.5,0.5,0.5,12.0,490,,2022,1210.246,1205.6499473145398
1210.951,metal loss,183.5,5.8,0.9,13.0,490,,2022,1210.951,1206.3563731928389
1212.149,metal loss,176.5,5.1,2.0,18.0,490,,2022,1212.149,1207.556796174686
1212.887,metal loss,176.0,5.6,2.9,14.0,490,,2022,1212.887,1208.2962887962246
1213.57,metal loss,180.0,9.6,4.3,13.0,490,,2022,1213.57,1208.9806701790308
1214.626,metal loss,181.5,5.0,3.0,10.0,490,,2022,1214.626,1210.0388059626955
1217.598,metal loss,177.0,5.0,1.8,11.0,490,,2022,1217.598,1213.0168168992984
1218.251,metal loss,182.5,1.3,1.4,15.0,490,,2022,1218.251,1213.6711376064322
1218.773,metal loss,175.0,3.4,2.5,16.0,490,,2022,1218.773,1214.19419336313
1219.623,metal loss,180.0,8.9,3.5,15.0,490,,2022,1219.623,1215.0459125071789
1220.551,metal loss,173.0,0.7,0.2,12.0,490,,2022,1220.551,1215.9757894079753
1221.821,metal loss,176.5,0.7,0.5,11.0,490,,2022,1221.821,1217.248358011436
1222.119,metal loss,179.0,4.3,1.5,14.0,490,,2022,1222.119,1217.546960723114
1223.14,metal loss,182.0,6.5,3.0,13.0,490,,2022,1223.14,1218.570025718495
1224.596,metal loss,188.0,0.4,0.5,14.0,490,,2022,1224.596,1220.0289705111238
1225.246,metal loss,181.5,2.9,3.6,11.0,490,,2022,1225.246,1220.6802851506905
1225.925,metal loss,183.5,0.4,2.8,19.0,490,,2022,1225.925,1221.360658443407
1227.602,metal loss,185.0,2.2,2.8,11.0,490,,2022,1227.602,1223.0410502134887
1228.986,metal loss,178.5,3.5,3.5,11.0,490,,2022,1228.986,1224.427849384504
1241.355,metal loss,192.0,1.9,1.3,12.0,490,,2022,1241.355,1236.821865964194
1242.343,metal loss,193.5,7.4,3.0,15.0,490,,2022,1242.343,1237.8118642163352
1459.432,metal loss,43.0,7.2,2.3,13.0,550,,2022,1459.432,1454.793950737227
1463.136,metal loss,30.0,6.5,2.2,18.0,550,,2022,1463.136,1458.510016573323
1471.148,metal loss,35.5,6.0,1.4,15.0,550,,2022,1471.148,1466.548115784661
1678.927,metal loss,202.5,2.2,1.7,18.0,600,,2022,1678.927,1673.7380824680658
1679.626,metal loss,240.50000000000003,3.3,3.2,18.0,600,,2022,1679.626,1674.4348024202584
1680.213,metal loss,233.0,10.3,5.3,29.0,610,,2022,1680.213,1675.0196069151057
1680.709,metal loss,375.5,2.3,3.1,22.0,610,,2022,1680.709,1675.5135806098046
1680.778,metal loss,285.0,1.7,1.5,30.0,610,,2022,1680.778,1675.5822987245915
1680.892,metal loss,199.5,3.4,2.6,22.0,610,,2022,1680.892,1675.6958330011958
1681.184,metal loss,145.0,1.4,1.3,22.0,610,,2022,1681.184,1675.9866400956555
2103.645,metal loss,349.5,1.2,2.1,25.0,710,,2022,2103.645,2097.5475434125374
2104.938,metal loss,351.0,1.2,1.2,19.0,710,,2022,2104.938,2098.843031007171
2105.118,metal loss,377.0,3.0,1.1,19.0,710,,2022,2105.118,2099.0233773080477
2105.367,metal loss,352.0,1.0,1.3,13.0,710,,2022,2105.367,2099.2728563575943
2106.148,metal loss,350.5,1.0,1.1,23.0,710,,2022,2106.148,2100.0553589186216
2111.266,metal loss,358.5,2.0,0.8,19.0,720,,2022,2111.266,2105.1443988182427
2113.625,metal loss,358.5,1.6,0.5,26.0,720,,2022,2113.625,2107.486473100126
2116.434,metal loss,361.5,4.2,1.3,11.0,720,,2022,2116.434,2110.2753186523996
2118.222,metal loss,361.0,2.0,1.1,19.0,720,,2022,2118.222,2112.050489833412
2118.927,metal loss,357.0,1.3,2.4,19.0,720,,2022,2118.927,2112.7504314903545
2120.712,metal loss,358.5,1.3,1.8,21.0,720,,2022,2120.712,2114.522624196231
2130.22,metal loss,356.5,2.3,1.5,13.0,720,,2022,2130.22,2123.962404727029
2130.256,metal loss,389.0,8.1,2.4,23.0,720,,2022,2130.256,2123.99814642866
2130.869,metal loss,353.5,4.4,2.6,21.0,720,,2022,2130.869,2124.6067481814343
