type,joint,dist_15,dist_22,shift
Tap,5.0,-1.39,-1.565,-0.18
Valve,5.0,0.0,-0.003,-0.0
Tap,5.0,1.4,1.243,-0.16
Tee,17.0,8.16,8.081,-0.08
Tap,18.0,11.12,10.968,-0.15
Girth Weld,30.0,28.69,28.556,-0.13
Girth Weld,40.0,38.83,39.344,0.51
Girth Weld,50.0,53.72,54.639,0.92
Girth Weld,60.0,94.06,94.665,0.61
Girth Weld,70.0,103.33,104.432,1.1
Girth Weld,70.0,111.52,104.432,-7.09
Girth Weld,80.0,128.88,129.521,0.64
Girth Weld,90.0,144.02,144.81,0.79
Girth Weld,100.0,175.63,176.437,0.81
Girth Weld,110.0,215.7,216.539,0.84
Girth Weld,120.0,255.86,256.588,0.73
Girth Weld,130.0,269.0,270.072,1.07
Girth Weld,140.0,309.49,310.207,0.72
Girth Weld,150.0,349.65,350.289,0.64
Girth Weld,160.0,359.33,360.666,1.34
Girth Weld,170.0,376.91,377.671,0.76
Girth Weld,180.0,384.52,385.886,1.37
Girth Weld,190.0,407.86,408.904,1.04
Girth Weld,200.0,417.34,419.098,1.76
Girth Weld,210.0,429.95,431.184,1.23
Girth Weld,210.0,438.75,431.184,-7.57
Girth Weld,220.0,446.26,447.992,1.73
Girth Weld,230.0,486.3,488.084,1.78
Girth Weld,240.0,526.15,528.284,2.13
Girth Weld,250.0,566.12,568.596,2.48
Girth Weld,260.0,606.11,608.73,2.62
Girth Weld,270.0,637.51,640.072,2.56
Girth Weld,280.0,646.78,649.675,2.89
Girth Weld,290.0,654.88,657.956,3.08
Girth Weld,300.0,670.33,672.979,2.65
Girth Weld,310.0,677.99,681.214,3.22
Girth Weld,320.0,686.92,689.987,3.07
Girth Weld,330.0,697.29,700.266,2.98
Girth Weld,340.0,737.27,740.325,3.06
Girth Weld,350.0,747.95,751.785,3.83
Girth Weld,360.0,754.23,757.835,3.61
Girth Weld,370.0,784.79,788.563,3.77
Girth Weld,380.0,822.65,826.404,3.75
Girth Weld,390.0,862.71,866.627,3.92
Girth Weld,400.0,902.75,906.709,3.96
Girth Weld,410.0,942.9,946.798,3.9
Girth Weld,420.0,954.76,959.331,4.57
Girth Weld,430.0,984.83,988.99,4.16
Girth Weld,440.0,998.04,1002.749,4.71
Girth Weld,450.0,1038.36,1042.927,4.57
Girth Weld,460.0,1078.41,1082.923,4.51
Girth Weld,470.0,1118.5,1123.091,4.59
Girth Weld,480.0,1158.59,1163.094,4.5
Girth Weld,490.0,1198.74,1203.35,4.61
Girth Weld,500.0,1238.87,1243.399,4.53
Girth Weld,510.0,1279.0,1283.599,4.6
Girth Weld,520.0,1319.13,1323.615,4.48
Girth Weld,530.0,1359.26,1363.829,4.57
Girth Weld,540.0,1399.33,1403.852,4.52
Girth Weld,550.0,1439.41,1444.098,4.69
Girth Weld,560.0,1474.52,1479.094,4.57
Girth Weld,570.0,1514.6,1519.318,4.72
Girth Weld,580.0,1554.67,1559.331,4.66
Girth Weld,590.0,1594.69,1599.534,4.84
Girth Weld,600.0,1634.65,1639.711,5.06
Girth Weld,610.0,1674.68,1679.872,5.19
Girth Weld,620.0,1714.66,1720.016,5.36
Girth Weld,630.0,1754.61,1760.164,5.55
Girth Weld,640.0,1794.68,1800.233,5.55
Girth Weld,650.0,1821.71,1827.454,5.74
Girth Weld,660.0,1861.75,1867.438,5.69
Girth Weld,670.0,1901.7,1907.615,5.91
Girth Weld,680.0,1940.56,1946.44,5.88
Girth Weld,690.0,1980.62,1986.66,6.04
Girth Weld,700.0,2020.72,2026.686,5.97
Girth Weld,710.0,2060.81,2066.978,6.17
Girth Weld,720.0,2100.91,2107.001,6.09
Girth Weld,730.0,2140.9,2147.28,6.38
Girth Weld,740.0,2180.93,2187.316,6.39
Girth Weld,750.0,2220.99,2227.552,6.56
Girth Weld,760.0,2260.83,2267.425,6.6
Girth Weld,770.0,2300.87,2307.736,6.87
Girth Weld,780.0,2311.27,2318.048,6.78
Girth Weld,790.0,2351.35,2358.294,6.94
Girth Weld,800.0,2365.88,2373.494,7.61
Girth Weld,810.0,2389.82,2397.247,7.43
Girth Weld,820.0,2429.86,2437.32,7.46
Girth Weld,830.0,2469.86,2477.585,7.72
Girth Weld,840.0,2509.92,2517.612,7.69
Girth Weld,850.0,2549.96,2557.89,7.93
Girth Weld,860.0,2590.02,2597.992,7.97
Girth Weld,870.0,2630.08,2638.248,8.17
Girth Weld,880.0,2670.11,2678.34,8.23
Girth Weld,890.0,2710.16,2718.55,8.39
Girth Weld,900.0,2750.26,2758.642,8.38
Girth Weld,910.0,2790.34,2798.875,8.53
Girth Weld,920.0,2830.42,2838.881,8.46
Girth Weld,930.0,2870.53,2879.088,8.56
Girth Weld,940.0,2878.59,2887.808,9.22
Girth Weld,950.0,2909.79,2918.661,8.87
Girth Weld,960.0,2949.78,2959.016,9.24
Girth Weld,970.0,2989.81,2998.999,9.19
Girth Weld,980.0,3029.58,3038.99,9.41
Girth Weld,990.0,3069.62,3079.016,9.4
Tap,990.0,3075.49,3085.059,9.57
Girth Weld,1000.0,3109.62,3119.173,9.55
Girth Weld,1010.0,3148.08,3157.615,9.53
Girth Weld,1020.0,3188.15,3197.848,9.7
Girth Weld,1030.0,3228.27,3237.874,9.6
Girth Weld,1040.0,3268.31,3278.153,9.84
Girth Weld,1050.0,3308.39,3318.268,9.88
Girth Weld,1060.0,3348.46,3358.632,10.17
Girth Weld,1070.0,3388.53,3398.691,10.16
Girth Weld,1080.0,3428.63,3438.924,10.29
Girth Weld,1090.0,3468.67,3478.907,10.24
Girth Weld,1100.0,3508.76,3519.14,10.38
Girth Weld,1110.0,3548.87,3559.19,10.32
Girth Weld,1120.0,3588.86,3599.577,10.72
Girth Weld,1130.0,3628.88,3639.669,10.79
Girth Weld,1140.0,3668.93,3679.925,11.0
Girth Weld,1150.0,3708.93,3719.918,10.99
Girth Weld,1160.0,3743.6,3754.76,11.16
Girth Weld,1170.0,3783.21,3794.413,11.2
Girth Weld,1180.0,3823.24,3834.682,11.44
Girth Weld,1190.0,3863.29,3874.675,11.39
Girth Weld,1200.0,3903.31,3914.888,11.58
Girth Weld,1210.0,3943.33,3954.915,11.59
Girth Weld,1220.0,3983.39,3995.279,11.89
Girth Weld,1230.0,4023.46,4035.348,11.89
Girth Weld,1240.0,4063.6,4075.758,12.16
Girth Weld,1250.0,4091.65,4103.93,12.28
Girth Weld,1260.0,4131.8,4144.272,12.47
Girth Weld,1270.0,4171.86,4184.344,12.48
Girth Weld,1280.0,4211.84,4224.61,12.77
Girth Weld,1290.0,4251.81,4264.659,12.85
Girth Weld,1300.0,4291.8,4304.892,13.09
Girth Weld,1310.0,4331.8,4345.016,13.22
Girth Weld,1320.0,4371.82,4385.328,13.51
Girth Weld,1330.0,4411.8,4425.41,13.61
Girth Weld,1340.0,4451.84,4465.666,13.83
Girth Weld,1350.0,4491.84,4505.659,13.82
Girth Weld,1360.0,4531.86,4545.915,14.06
Girth Weld,1370.0,4571.9,4585.961,14.06
Girth Weld,1380.0,4611.9,4626.175,14.28
Girth Weld,1390.0,4651.91,4666.155,14.24
Girth Weld,1400.0,4691.76,4706.312,14.55
Girth Weld,1410.0,4731.85,4746.339,14.49
Girth Weld,1420.0,4771.94,4786.608,14.67
Girth Weld,1430.0,4811.94,4826.601,14.66
Girth Weld,1440.0,4851.93,4866.811,14.88
Girth Weld,1450.0,4891.97,4906.837,14.87
Girth Weld,1460.0,4919.95,4934.977,15.03
Girth Weld,1470.0,4959.83,4974.915,15.09
Girth Weld,1480.0,4999.69,5014.777,15.09
Girth Weld,1490.0,5036.21,5051.453,15.24
Girth Weld,1500.0,5076.28,5091.473,15.19
Girth Weld,1510.0,5106.79,5122.129,15.34
Girth Weld,1520.0,5146.85,5162.129,15.28
Girth Weld,1530.0,5186.99,5202.421,15.43
Agm,1530.0,5207.38,5217.3,9.92
Girth Weld,1540.0,5225.78,5241.112,15.33
Girth Weld,1550.0,5265.88,5281.358,15.48
Girth Weld,1560.0,5305.93,5321.371,15.44
Girth Weld,1570.0,5346.04,5361.64,15.6
Girth Weld,1580.0,5386.2,5401.709,15.51
Girth Weld,1590.0,5426.28,5441.942,15.66
Girth Weld,1600.0,5449.19,5464.879,15.69
Girth Weld,1610.0,5489.32,5504.948,15.63
Girth Weld,1620.0,5529.39,5545.246,15.86
