distance,event_type,orientation,length,width,depth,joint_number,comments,year
19.09,magnet,360.0,,,,,ROSEN,2015
9452.13,metal loss,283.0,2.09,1.89,16.0,2640.0,,2015
9452.84,metal loss,49.0,1.1,1.58,13.0,2640.0,,2015
9453.04,metal loss,89.0,1.34,1.73,13.0,2640.0,,2015
9458.19,metal loss,243.5,1.22,1.81,17.0,2640.0,,2015
9458.78,metal loss,242.50000000000003,0.63,1.34,30.0,2640.0,,2015
9459.51,metal loss,237.0,0.94,1.69,23.0,2640.0,,2015
9459.88,metal loss,157.0,0.94,1.42,35.0,2640.0,,2015
9460.01,metal loss,181.0,1.42,1.81,39.0,2640.0,,2015
9837.86,attachment,,,,,2760.0,Circumferential,2015
9846.62,attachment,,,,,2770.0,Circumferential,2015
10119.99,cluster,190.5,0.96,4.86,20.0,2830.0,,2015
10515.15,metal loss,134.0,0.94,2.36,10.0,2940.0,,2015
10584.12,metal loss,186.5,1.02,1.73,12.0,2960.0,,2015
10584.2,metal loss,136.5,0.79,1.5,10.0,2960.0,,2015
10584.2,metal loss,170.5,0.59,0.98,13.0,2960.0,,2015
10584.75,metal loss,214.0,0.79,1.18,13.0,2960.0,,2015
10586.57,cluster,130.0,1.8,3.5,33.0,2960.0,,2015
10586.97,metal loss,133.0,1.3,2.09,12.0,2960.0,,2015
10587.15,metal loss,181.0,0.59,1.42,12.0,2960.0,,2015
10587.34,metal loss,131.5,0.47,1.26,20.0,2960.0,,2015
10587.56,metal loss,137.5,0.55,0.98,13.0,2960.0,,2015
10587.75,metal loss,128.5,1.18,1.1,10.0,2960.0,,2015
10587.92,metal loss,130.5,0.43,1.22,13.0,2960.0,,2015
10587.98,metal loss,128.0,1.18,2.21,22.0,2960.0,,2015
10588.2,metal loss,122.99999999999999,0.94,1.69,13.0,2960.0,,2015
10588.47,cluster,127.0,1.85,2.37,45.0,2960.0,,2015
10588.75,metal loss,132.5,0.51,1.97,16.0,2960.0,,2015
10588.9,metal loss,135.0,0.47,0.91,19.0,2960.0,,2015
10589.03,metal loss,138.5,1.18,2.4,20.0,2960.0,,2015
10589.43,metal loss,176.0,1.65,2.21,10.0,2960.0,,2015
10593.83,attachment,180.0,,,,2960.0,Repair Marker 2012 Dig #8 Recoat,2015
10595.34,metal loss,196.0,0.47,1.02,13.0,2960.0,Recoat,2015
10595.48,metal loss,192.5,1.02,2.6,35.0,2960.0,Recoat,2015
10595.49,metal loss,113.5,0.67,2.17,50.0,2960.0,Recoat,2015
10597.14,metal loss,158.0,0.55,1.89,11.0,2970.0,Recoat,2015
10597.21,attachment,180.0,,,,2970.0,Repair Marker 2012 Dig #8 Recoat,2015
